Sample,Sample,Composition,Composition,Composition,Composition,Composition,Composition,Process,Process,Sample,Sample
Sample,Formulation,A,B,C,D,E,F,PercentOpen,Pressure,Gap (mm),Diameter (mm)
1,23,0.27,0.44,0.09,0.04,0.08,0.08,85,80,8,8.23
2,23,0.27,0.44,0.09,0.04,0.08,0.08,85,80,8,8.14
3,23,0.27,0.44,0.09,0.04,0.08,0.08,85,80,8,8.24
4,23,0.27,0.44,0.09,0.04,0.08,0.08,85,80,8,8.16
1,24,0.04,0.19,0.36,0.2,0.12,0.09,87,80,8,9.15
2,24,0.04,0.19,0.36,0.2,0.12,0.09,87,80,8,9.33
3,24,0.04,0.19,0.36,0.2,0.12,0.09,87,80,8,9.05
4,24,0.04,0.19,0.36,0.2,0.12,0.09,87,80,8,8.55
1,25,0,0.18,0.21,0.28,0.2,0.13,75,80,8,8.1
2,25,0,0.18,0.21,0.28,0.2,0.13,75,80,8,8.64
3,25,0,0.18,0.21,0.28,0.2,0.13,75,80,8,8.31
4,25,0,0.18,0.21,0.28,0.2,0.13,75,80,8,8.43
1,26,0,0.02,0.38,0.04,0.29,0.27,70,80,8,8.41
2,26,0,0.02,0.38,0.04,0.29,0.27,70,80,8,8.25
3,26,0,0.02,0.38,0.04,0.29,0.27,70,80,8,8.12
4,26,0,0.02,0.38,0.04,0.29,0.27,70,80,8,8.3
1,27,0.19,0.3,0.1,0.06,0.07,0.28,70,80,8,7.94
2,27,0.19,0.3,0.1,0.06,0.07,0.28,70,80,8,7.96
3,27,0.19,0.3,0.1,0.06,0.07,0.28,70,80,8,7.87
4,27,0.19,0.3,0.1,0.06,0.07,0.28,70,80,8,8.01
1,28,0.08,0.16,0.14,0.04,0.19,0.39,75,80,8,8.11
2,28,0.08,0.16,0.14,0.04,0.19,0.39,75,80,8,7.99
3,28,0.08,0.16,0.14,0.04,0.19,0.39,75,80,8,8.26
4,28,0.08,0.16,0.14,0.04,0.19,0.39,75,80,8,8.3
1,29,0.34,0.06,0.23,0.16,0.19,0.02,80,80,8,8.07
2,29,0.34,0.06,0.23,0.16,0.19,0.02,80,80,8,8.18
3,29,0.34,0.06,0.23,0.16,0.19,0.02,80,80,8,8.19
4,29,0.34,0.06,0.23,0.16,0.19,0.02,80,80,8,8.02
1,30,0.14,0.1,0.07,0.2,0.27,0.22,80,80,8,8.37
2,30,0.14,0.1,0.07,0.2,0.27,0.22,80,80,8,8.09
3,30,0.14,0.1,0.07,0.2,0.27,0.22,80,80,8,8.19
4,30,0.14,0.1,0.07,0.2,0.27,0.22,80,80,8,8.27
1,31,0.07,0.07,0.32,0.21,0.03,0.3,55,80,8,7.91
2,31,0.07,0.07,0.32,0.21,0.03,0.3,55,80,8,7.79
3,31,0.07,0.07,0.32,0.21,0.03,0.3,55,80,8,7.88
4,31,0.07,0.07,0.32,0.21,0.03,0.3,55,80,8,7.81
1,32,0.02,0.01,0.27,0.13,0.49,0.08,70,80,8,8.21
2,32,0.02,0.01,0.27,0.13,0.49,0.08,70,80,8,7.97
3,32,0.02,0.01,0.27,0.13,0.49,0.08,70,80,8,8.12
4,32,0.02,0.01,0.27,0.13,0.49,0.08,70,80,8,8.04
1,33,0.09,0.32,0.03,0.13,0.37,0.06,85,80,8.3,8.1
2,33,0.09,0.32,0.03,0.13,0.37,0.06,85,80,8.3,8.14
3,33,0.09,0.32,0.03,0.13,0.37,0.06,85,80,8.32,8.48
4,33,0.09,0.32,0.03,0.13,0.37,0.06,85,80,8.32,8.4
1,39,0.04,0.17,0.07,0.22,0.24,0.26,75,80,8.08,8.43
2,39,0.04,0.17,0.07,0.22,0.24,0.26,75,80,8.14,8.86
3,39,0.04,0.17,0.07,0.22,0.24,0.26,75,80,8.1,8.45
4,39,0.04,0.17,0.07,0.22,0.24,0.26,75,80,8.14,8.74
1,41,0.17,0.15,0.28,0.29,0,0.11,75,80,8.06,8.59
2,41,0.17,0.15,0.28,0.29,0,0.11,75,80,8.02,8.42
3,41,0.17,0.15,0.28,0.29,0,0.11,75,80,8.06,8.82
4,41,0.17,0.15,0.28,0.29,0,0.11,75,80,8.04,8.92
1,35,0.09,0.32,0.04,0.21,0.17,0.17,75,80,8.59,8.4
2,35,0.09,0.32,0.04,0.21,0.17,0.17,75,80,8.34,8.1
3,35,0.09,0.32,0.04,0.21,0.17,0.17,75,80,8.32,8.22
4,35,0.09,0.32,0.04,0.21,0.17,0.17,75,80,8.34,8.52
1,40,0.05,0.01,0.22,0.05,0.12,0.55,65,80,7.97,8.72
2,40,0.05,0.01,0.22,0.05,0.12,0.55,65,80,7.97,8.54
1,42,0.1,0.14,0.14,0.26,0.27,0.09,70,80,8,8.15
2,42,0.1,0.14,0.14,0.26,0.27,0.09,70,80,7.9,8.05
3,42,0.1,0.14,0.14,0.26,0.27,0.09,70,80,7.92,8.38
4,42,0.1,0.14,0.14,0.26,0.27,0.09,70,80,7.9,8.15
1,34,0.08,0.21,0.02,0,0.61,0.08,75,80,8.3,7.92
2,34,0.08,0.21,0.02,0,0.61,0.08,75,80,8.24,7.94
3,34,0.08,0.21,0.02,0,0.61,0.08,75,80,8.24,7.84
4,34,0.08,0.21,0.02,0,0.61,0.08,75,80,8.24,7.73
1,37,0.14,0.3,0.07,0.1,0.25,0.14,80,80,8.28,8.46
2,37,0.14,0.3,0.07,0.1,0.25,0.14,80,80,8.22,8.14
3,37,0.14,0.3,0.07,0.1,0.25,0.14,80,80,8.26,8.44
4,37,0.14,0.3,0.07,0.1,0.25,0.14,80,80,8.28,8.25
1,51,0.4,0.6,0,0,0,0,80,80,8.12,7.84
2,51,0.4,0.6,0,0,0,0,80,80,8.14,8
3,51,0.4,0.6,0,0,0,0,80,80,8.17,7.95
4,51,0.4,0.6,0,0,0,0,80,80,8.15,7.98
1,48,0.55,0.45,0,0,0,0,80,80,8.14,7.85
2,48,0.55,0.45,0,0,0,0,80,80,8.1,7.76
3,48,0.55,0.45,0,0,0,0,80,80,8.14,7.8
4,48,0.55,0.45,0,0,0,0,80,80,8.1,7.84
1,53,0.04,0.19,0.36,0.2,0.12,0.09,65,80,7.9,8.08
2,53,0.04,0.19,0.36,0.2,0.12,0.09,65,80,7.9,8.05
3,53,0.04,0.19,0.36,0.2,0.12,0.09,65,80,8,7.8
1,46,0,0,0,1,0,0,65,80,8.4,8.25
2,46,0,0,0,1,0,0,65,80,8.4,8.5
3,46,0,0,0,1,0,0,65,80,8.4,8.45
4,46,0,0,0,1,0,0,65,80,8.4,9
1,47,0.6,0.4,0,0,0,0,80,80,8.8,7.65
2,47,0.6,0.4,0,0,0,0,80,80,8.82,7.65
3,47,0.6,0.4,0,0,0,0,80,80,8.8,7.75
1,49,0.5,0.5,0,0,0,0,80,80,8.12,7.75
2,49,0.5,0.5,0,0,0,0,80,80,8.12,7.65
3,49,0.5,0.5,0,0,0,0,80,80,8.1,7.9
4,49,0.5,0.5,0,0,0,0,80,80,8.12,7.9
1,36,0.03,0.04,0.2,0.31,0.23,0.19,65,80,8.18,8.14
2,36,0.03,0.04,0.2,0.31,0.23,0.19,65,80,8.16,8.1
3,36,0.03,0.04,0.2,0.31,0.23,0.19,65,80,8.16,8.05
4,36,0.03,0.04,0.2,0.31,0.23,0.19,65,80,8.18,8.2
1,50,0.45,0.55,0,0,0,0,80,80,8.02,7.8
2,50,0.45,0.55,0,0,0,0,80,80,8.02,8.03
3,50,0.45,0.55,0,0,0,0,80,80,8.01,7.9
4,50,0.45,0.55,0,0,0,0,80,80,8.01,8.01
1,44,0,1,0,0,0,0,80,80,8.01,8.4
2,44,0,1,0,0,0,0,80,80,8.02,8.12
3,44,0,1,0,0,0,0,80,80,8.03,8.42
4,44,0,1,0,0,0,0,80,80,8.03,7.9
1,43,1,0,0,0,0,0,80,80,8.02,7.8
2,43,1,0,0,0,0,0,80,80,7.91,7.66
3,43,1,0,0,0,0,0,80,80,8,7.56
1,52,0.27,0.44,0.09,0.04,0.08,0.08,65,80,7.92,8.05
2,52,0.27,0.44,0.09,0.04,0.08,0.08,65,80,7.9,8.12
3,52,0.27,0.44,0.09,0.04,0.08,0.08,65,80,7.95,7.96
1,54,0.02,0.01,0.27,0.13,0.49,0.08,80,80,8.11,8.05
2,54,0.02,0.01,0.27,0.13,0.49,0.08,80,80,8.16,8.04
3,54,0.02,0.01,0.27,0.13,0.49,0.08,80,80,8.02,7.91
1,55,0.32,0.13,0.05,0.21,0.04,0.25,80,80,8,8.6
2,55,0.32,0.13,0.05,0.21,0.04,0.25,80,80,8,8.6
1,57,0.32,0.13,0.05,0.21,0.04,0.25,80,80,7.97,7.87
2,57,0.32,0.13,0.05,0.21,0.04,0.25,80,80,8,8.04
